mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_colsample_bytree,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_subsample,param_subsample_for_bin,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.676083246866862,0.028871499721294075,0.11627697944641113,0.0413613645484686,goss,0.6,4,11,0.025,8,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 8, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.123105625617661,-3.7068024786039806,-3.9204836828754064,-3.9167972623656824,0.16997503704074568,235,-3.6607980424618223,-3.87576866360893,-3.691002736254847,-3.7425231474418665,0.09502230112190502
1.6355075041453044,0.0369664538288037,0.1013338565826416,0.016382436620017163,goss,0.6,4,12,0.015,6,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 6, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.246586019730026,-4.014995928726741,-4.14404113433698,-4.135207694264582,0.09475236078100993,661,-3.971654373373703,-4.025101097975163,-3.8127641238068963,-3.9365065317185874,0.09017862174408312
1.6613438129425049,0.03983796088920744,0.11769382158915202,0.0427311128560782,goss,0.6,4,12,0.015,6,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 6, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.193866562780876,-4.048978978610629,-4.183874722348614,-4.142240087913373,0.06607160307872931,697,-3.9671123968487167,-4.025994671323495,-3.831586506380262,-3.941564524850824,0.08139678114792326
1.6452200412750244,0.05390987694919648,0.10383288065592448,0.014287837448782427,goss,0.6,4,12,0.015,6,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.209240234208817,-4.052539564652876,-4.1562048146763,-4.1393282045126645,0.06507631385679213,682,-3.969838206352418,-4.033136130898598,-3.7672067268444103,-3.9233936880318083,0.11342378335745658
1.6233783562978108,0.0448088531709705,0.21806025505065918,0.008232234528950855,goss,0.6,4,12,0.015,7,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 7, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.246586019730026,-4.014995928726741,-4.14404113433698,-4.135207694264582,0.09475236078100993,661,-3.971654373373703,-4.025101097975163,-3.8127641238068963,-3.9365065317185874,0.09017862174408312
1.641493797302246,0.025167706632082586,0.18544721603393555,0.06089307710231013,goss,0.6,4,12,0.015,7,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 7, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.193866562780876,-4.048978978610629,-4.183874722348614,-4.142240087913373,0.06607160307872931,697,-3.9671123968487167,-4.025994671323495,-3.831586506380262,-3.941564524850824,0.08139678114792326
1.6377850373586018,0.023355898912762883,0.08081658681233723,0.0009857412108349515,goss,0.6,4,12,0.015,7,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 7, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.209240234208817,-4.052539564652876,-4.1562048146763,-4.1393282045126645,0.06507631385679213,682,-3.969838206352418,-4.033136130898598,-3.7672067268444103,-3.9233936880318083,0.11342378335745658
1.637067159016927,0.014040751876425263,0.0812693436940511,0.0015729748024523986,goss,0.6,4,12,0.015,8,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 8, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.246586019730026,-4.014995928726741,-4.14404113433698,-4.135207694264582,0.09475236078100993,661,-3.971654373373703,-4.025101097975163,-3.8127641238068963,-3.9365065317185874,0.09017862174408312
1.6714141368865967,0.025765598396208567,0.08202711741129558,0.0022270352156048487,goss,0.6,4,12,0.015,8,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 8, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.193866562780876,-4.048978978610629,-4.183874722348614,-4.142240087913373,0.06607160307872931,697,-3.9671123968487167,-4.025994671323495,-3.831586506380262,-3.941564524850824,0.08139678114792326
1.6656538645426433,0.014160950648995106,0.11203893025716145,0.03236810723407323,goss,0.6,4,12,0.015,8,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.015, 'max_depth': 8, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.209240234208817,-4.052539564652876,-4.1562048146763,-4.1393282045126645,0.06507631385679213,682,-3.969838206352418,-4.033136130898598,-3.7672067268444103,-3.9233936880318083,0.11342378335745658
1.6910022099812825,0.026433442184738015,0.08800053596496582,0.004171979540181426,goss,0.6,4,12,0.02,6,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.1887294667302815,-3.8686362136864396,-3.9424953051042726,-3.999953661840331,0.13684789544150436,475,-3.639064228828403,-3.9465858116029002,-3.6929513520014585,-3.7595337974775873,0.13408280402353168
1.7010870774586995,0.020516362971699495,0.12713424364725748,0.06337118027779606,goss,0.6,4,12,0.02,6,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.095159939273394,-3.7512818322028787,-4.02217411549831,-3.956205295658194,0.14793456216386902,376,-3.773324895795586,-3.9365470755089214,-3.748061049488848,-3.8193110069311182,0.08353756565855909
1.6719809373219807,0.010982078998333932,0.19684370358784994,0.008056703160559573,goss,0.6,4,12,0.02,6,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.065257161542635,-3.7895351856232873,-3.922322702763681,-3.9257050166432013,0.11258843053825753,265,-3.6814242645183692,-3.934719099057671,-3.715286976015269,-3.7771434465304363,0.11227714373970146
1.6425155798594158,0.020986431370953337,0.17400503158569336,0.025399138831758004,goss,0.6,4,12,0.02,7,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.02, 'max_depth': 7, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.1887294667302815,-3.8686362136864396,-3.9424953051042726,-3.999953661840331,0.13684789544150436,475,-3.639064228828403,-3.9465858116029002,-3.6929513520014585,-3.7595337974775873,0.13408280402353168
1.6870348453521729,0.036525997137724885,0.10166184107462566,0.023752222630296815,goss,0.6,4,12,0.02,7,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.02, 'max_depth': 7, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.095159939273394,-3.7512818322028787,-4.02217411549831,-3.956205295658194,0.14793456216386902,376,-3.773324895795586,-3.9365470755089214,-3.748061049488848,-3.8193110069311182,0.08353756565855909
1.667675256729126,0.02868247742944251,0.08341574668884277,0.000986739180179664,goss,0.6,4,12,0.02,7,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 12, 'learning_rate': 0.02, 'max_depth': 7, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.065257161542635,-3.7895351856232873,-3.922322702763681,-3.9257050166432013,0.11258843053825753,265,-3.6814242645183692,-3.934719099057671,-3.715286976015269,-3.7771434465304363,0.11227714373970146
