mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample_for_bin,param_subsample,param_num_leaves,param_n_estimators,param_min_child_weight,param_min_child_samples,param_max_depth,param_learning_rate,param_lambda_l2,param_lambda_l1,param_colsample_bytree,param_boosting_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
16.507424751917522,1.5684444194098457,0.018642425537109375,0.005738121111985984,5000,0.3,30,2000,12,15,4,0.03,14,5,0.6,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 30, 'n_estimators': 2000, 'min_child_weight': 12, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.323077054056636,-3.853070703497906,-4.026355481268197,-4.06750107960758,0.19407251666737588,21,-3.497595327782086,-3.8375276813380736,-3.6900280425000096,-3.6750503505400567,0.1391803379094037
11.713315884272257,0.6480581692882584,0.023037433624267578,0.0019064421585884624,20000,0.6,15,1600,14,15,4,0.001,14,4,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.001, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
11.11652954419454,1.3875260640544806,0.020320892333984375,0.008752601731594792,10000,0.5,15,1600,16,20,5,0.001,14,4,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.001, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-5.024818785563435,-5.1201900505592715,-5.142675897294655,-5.09589491113912,0.05108988840589186,58,-4.928088644931997,-5.161423037281886,-5.150260173633475,-5.0799239519491195,0.1074604507836753
15.220014095306396,0.5221465732423686,0.023275295893351238,0.00935693572643064,10000,0.3,15,2000,16,20,5,0.02,14,2,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.02, 'lambda_l2': 14, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.1989973740606725,-4.02933951449576,-4.242074057308796,-4.156803648621743,0.09183038450055503,35,-3.6996621467371855,-4.020630252323544,-3.992498962007466,-3.9042637870227317,0.14513032253659452
12.5407768090566,0.716064744635954,0.020845651626586914,0.009120822527486973,20000,0.4,45,1600,12,10,6,0.01,15,2,0.6,goss,"{'subsample_for_bin': 20000, 'subsample': 0.4, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 2, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.174999641864581,-4.00780488547035,-4.107333965931223,-4.096712831088717,0.06866890621156262,22,-3.9752842181892625,-4.052710257550455,-3.821559439124634,-3.949851304954784,0.09606525567351284
12.113726298014322,1.4504444944115975,0.020854632059733074,0.011126025639592675,10000,0.3,15,1600,14,10,5,0.001,15,4,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.001, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
10.557308594385782,1.2905966130395758,0.006928841272989909,0.003575364283822594,20000,0.3,15,1800,16,20,6,0.001,15,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.001, 'lambda_l2': 15, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
11.065868695576986,0.8524832112050074,0.021806081136067707,0.010955453837315733,10000,0.4,45,1600,16,10,6,0.03,12,2,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.4, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 16, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.03, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.2757802388239865,-3.924160860813234,-4.228452162707732,-4.142797754114984,0.15580234279731292,32,-3.7233024009917286,-3.8979795541173052,-3.7381306963665013,-3.786470883825178,0.07908058020639061
11.77584950129191,1.9420422017333052,0.008524576822916666,3.867299933689254e-05,5000,0.3,30,1600,14,15,4,0.02,12,5,0.8,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-3.9061967699722486,-3.8085177815401745,-3.810410839952927,-3.8417084638217833,0.045606667203788157,1,-3.6755428693752688,-3.868336693848975,-3.707533325179175,-3.7504709628011397,0.08436071452287856
13.312111695607504,0.6232537565333554,0.018090248107910156,0.009464198875616982,10000,0.4,30,1800,16,10,4,0.02,12,2,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.4, 'num_leaves': 30, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.216622381269171,-4.0239666614309435,-4.259040159111332,-4.166543067270482,0.10229317538610072,41,-3.753844183479937,-4.04115518778957,-4.00059947546234,-3.931866282243949,0.12696480401237195
