"tm","age_prior","g_prior","gs_prior","mpg_prior","fg_prior","fga_prior","fg_per_prior","x3p_prior","x3pa_prior","x3p_per_prior","x2p_prior","x2pa_prior","x2p_per_prior","e_fg_per_prior","ft_prior","fta_prior","ft_per_prior","orb_prior","drb_prior","trb_prior","ast_prior","stl_prior","blk_prior","tov_prior","pf_prior","pts_prior","tot_mp_prior","per_prior","ts_per_prior","x3p_ar_prior","f_tr_prior","orb_per_prior","drb_per_prior","trb_per_prior","ast_per_prior","stl_per_prior","blk_per_prior","tov_per_prior","usg_per_prior","ows_prior","dws_prior","ws_prior","ws_48_prior","obpm_prior","dbpm_prior","bpm_prior","vorp_prior","won","season"
"PHO_2005",24.7,64.3,46.4,27.86,4.34,9.65,0.4641,0.64,1.84,0.1997,3.69,7.8,0.4818,0.4913,1.97,2.7,0.6672,1.53,3.32,4.88,2.46,0.93,0.63,1.8,2.36,11.33,1911,14.2,0.5202,0.1541,0.3051,6.51,13.52,9.99,12.92,1.64,1.94,15.83,18.9,2.55,1.17,3.73,0.0715,-0.39,-0.72,-1.09,1.09,9,2005
"PHO_2006",24.3333333333333,64.5,35.75,22.95,3.75,7.95833333333333,0.41575,0.525,1.425,0.276583333333333,3.23333333333333,6.53333333333333,0.432916666666667,0.44825,1.66666666666667,2.15833333333333,0.715833333333333,1.16666666666667,3.21666666666667,4.375,2.24166666666667,0.733333333333333,0.491666666666667,1.29166666666667,2.175,9.69166666666667,1664.83333333333,13.35,0.48125,0.179,0.2275,5.19166666666667,13.1333333333333,9.20833333333333,13.15,1.45833333333333,1.28333333333333,12.325,17.3583333333333,2.84166666666667,1.45833333333333,4.31666666666667,0.0861666666666667,-0.183333333333333,-0.333333333333333,-0.525,1.175,10,2006
"PHO_2007",28,60.1428571428571,36.2142857142857,24.4214285714286,4.05,8.71428571428571,0.457857142857143,0.864285714285714,2.23571428571429,0.282928571428571,3.20714285714286,6.47857142857143,0.488928571428571,0.503,1.77142857142857,2.17142857142857,0.748857142857143,1.05,3.2,4.23571428571429,2.35,0.678571428571429,0.514285714285714,1.25714285714286,2.11428571428571,10.75,1672.57142857143,15.0928571428571,0.540071428571429,0.247142857142857,0.245642857142857,5.18571428571429,14.6785714285714,9.97857142857143,12.7285714285714,1.41428571428571,1.61428571428571,11.7857142857143,20.0642857142857,2.94285714285714,1.65,4.6,0.108857142857143,-0.414285714285714,-0.0214285714285714,-0.45,1.32142857142857,6,2007
"PHO_2008",26.5,53.5,41.7,23.52,3.9,7.79,0.4254,0.79,1.91,0.2191,3.1,5.86,0.4364,0.4683,1.9,2.39,0.7331,0.78,2.67,3.44,2.73,0.52,0.42,1.54,2,10.48,1679.1,12.99,0.5069,0.2256,0.2605,3.42,12.3,8.04,13.02,0.81,1.45,12.62,17.43,3.43,1.42,4.86,0.0977,1.66533453693773e-17,-0.33,-0.34,1.48,1,2008
"PHO_2009",22.7,44.7,29.7,18.92,3.74,7.27,0.3937,0.57,1.49,0.188,3.18,5.77,0.417,0.4218,1.9,2.7,0.5688,0.9,2.54,3.43,2.2,0.43,0.54,1.23,1.65,9.96,1276.1,13.4,0.4443,0.1573,0.2814,5.57,10.85,8.35,10.92,0.79,1.45,9.02,17.5,3,1.17,4.17,0.096,0.4,-0.77,-0.39,1.36,0,2009
"PHO_2010",24.5384615384615,55.3846153846154,24.1538461538462,19.0230769230769,3.16923076923077,6.50769230769231,0.450307692307692,0.530769230769231,1.31538461538462,0.222153846153846,2.64615384615385,5.19230769230769,0.464615384615385,0.473692307692308,1.63846153846154,2.08461538461538,0.689538461538462,0.938461538461538,2.25384615384615,3.15384615384615,1.82307692307692,0.584615384615385,0.384615384615385,1.20769230769231,1.71538461538462,8.5,1269.23076923077,12.6846153846154,0.512153846153846,0.124461538461538,0.342846153846154,6.94615384615385,12.2307692307692,9.64615384615385,10.5846153846154,1.29230769230769,1.51538461538462,14.4230769230769,16.8923076923077,2.04615384615385,0.861538461538462,2.93076923076923,0.0822307692307692,-0.676923076923077,-0.630769230769231,-1.31538461538462,0.853846153846154,10,2010
"PHO_2011",27.5714285714286,76.2857142857143,34.5714285714286,26.8571428571429,4.1,8.18571428571429,0.506428571428571,0.842857142857143,1.95714285714286,0.335,3.27142857142857,6.22857142857143,0.519,0.557142857142857,2.2,2.82857142857143,0.791571428571429,1.31428571428571,3.28571428571429,4.61428571428571,2.65714285714286,0.671428571428571,0.528571428571429,1.41428571428571,2.08571428571429,11.2857142857143,2080,16.6428571428571,0.601142857142857,0.234285714285714,0.355571428571429,6.27142857142857,13.7,10.1571428571429,13.2714285714286,1.27142857142857,1.58571428571429,12.3142857142857,17.8857142857143,4.65714285714286,1.44285714285714,6.08571428571429,0.140857142857143,1.77142857142857,-0.285714285714286,1.48571428571429,1.98571428571429,0,2011
"PHO_2012",25.8461538461538,60.3076923076923,23.6153846153846,19.1461538461538,2.83846153846154,6.13076923076923,0.428769230769231,0.584615384615385,1.60769230769231,0.229384615384615,2.24615384615385,4.52307692307692,0.458307692307692,0.465307692307692,1.30769230769231,1.66923076923077,0.718230769230769,0.761538461538461,2.12307692307692,2.88461538461538,1.9,0.538461538461538,0.330769230769231,1.07692307692308,1.57692307692308,7.55384615384615,1315.84615384615,12.3461538461538,0.499076923076923,0.215153846153846,0.255461538461538,4.65384615384615,11.5692307692308,8.13076923076923,12.2461538461538,1.38461538461538,1.31538461538462,12.4615384615385,17.0538461538462,1.73846153846154,0.969230769230769,2.68461538461538,0.0749230769230769,-0.861538461538462,-0.361538461538462,-1.22307692307692,0.561538461538462,0,2012
"PHO_2013",21.5,44.9166666666667,28.4166666666667,19.7916666666667,3.25,7,0.382333333333333,0.475,1.35,0.176583333333333,2.775,5.63333333333333,0.402666666666667,0.40975,1.20833333333333,1.675,0.5895,0.991666666666667,2.71666666666667,3.71666666666667,1.225,0.5,0.516666666666667,1.1,1.74166666666667,8.16666666666667,1149.08333333333,11.575,0.43475,0.157916666666667,0.225083333333333,5.36666666666667,12.95,9.19166666666667,8.075,1.1,1.5,10.775,16.6666666666667,1.20833333333333,1.01666666666667,2.21666666666667,0.0703333333333333,-0.716666666666667,-0.075,-0.783333333333333,0.491666666666667,0,2013
"PHO_2014",20.2857142857143,39.3571428571429,16.7142857142857,13.5571428571429,1.95714285714286,4.55714285714286,0.343857142857143,0.371428571428571,1.17142857142857,0.1805,1.58571428571429,3.36428571428571,0.365428571428571,0.3685,0.785714285714286,1.14285714285714,0.5475,0.778571428571429,1.6,2.38571428571429,1.27142857142857,0.492857142857143,0.335714285714286,0.764285714285714,1.32142857142857,5.07857142857143,839,10.0285714285714,0.3825,0.159714285714286,0.227714285714286,6.64285714285714,11.05,8.86428571428571,9.40714285714286,1.29285714285714,1.7,9.92142857142857,15.3214285714286,0.635714285714286,0.85,1.48571428571429,0.0524285714285714,-1.32857142857143,-0.307142857142857,-1.62857142857143,0.4,0,2014
"PHO_2015",19.7,46.5,17.3,16.4,2.69,5.82,0.3659,0.63,1.71,0.1979,2.06,4.12,0.3919,0.3978,1.45,1.85,0.5267,0.78,2.12,2.91,1.21,0.61,0.25,1.08,1.73,7.41,1109.3,10.49,0.4295,0.1813,0.2339,5.42,10.55,7.98,6.95,1.22,1.09,10.74,16,1.59,1.14,2.73,0.0733,-1.47,-0.45,-1.91,0.78,0,2015
"PHO_2016",21.6428571428571,48.6428571428571,26.6428571428571,19.0785714285714,2.62857142857143,5.85714285714286,0.389,0.478571428571429,1.56428571428571,0.217928571428571,2.15,4.3,0.423785714285714,0.419071428571429,1.28571428571429,1.71428571428571,0.612357142857143,1,2.73571428571429,3.72857142857143,1.78571428571429,0.678571428571429,0.385714285714286,1.15,1.67857142857143,7.02142857142857,1165.28571428571,11.6571428571429,0.448285714285714,0.201642857142857,0.241428571428571,5.17857142857143,13.6357142857143,9.37142857142857,11.4642857142857,1.44285714285714,1.43571428571429,12.3642857142857,15.3714285714286,1.28571428571429,1.1,2.37857142857143,0.0664285714285714,-0.935714285714286,-0.0785714285714286,-1.00714285714286,0.55,0,2016
"PHO_2017",19.9411764705882,37.7058823529412,17.8823529411765,15.4941176470588,2.45294117647059,5.52941176470588,0.330823529411765,0.6,1.68823529411765,0.207529411764706,1.84705882352941,3.84705882352941,0.358470588235294,0.372529411764706,1.17058823529412,1.51176470588235,0.593058823529412,0.664705882352941,1.98235294117647,2.62941176470588,1.45882352941176,0.570588235294118,0.252941176470588,1.01764705882353,1.49411764705882,6.66470588235294,859.941176470588,10.4058823529412,0.404058823529412,0.244176470588235,0.222764705882353,4.06470588235294,12.2529411764706,8.10588235294118,10.2058823529412,1.43529411764706,1.16470588235294,10.1,14.7,0.658823529411765,0.688235294117647,1.34117647058824,0.0632352941176471,-0.876470588235294,-4.89007068090153e-18,-0.888235294117647,0.147058823529412,0,2017
"PHO_2018",17.4666666666667,42.2,21.1333333333333,14.8,2.41333333333333,5.24,0.310333333333333,0.5,1.44666666666667,0.167333333333333,1.91333333333333,3.80666666666667,0.334666666666667,0.342933333333333,1.03333333333333,1.41333333333333,0.4604,0.84,2.28,3.12,0.913333333333333,0.446666666666667,0.353333333333333,0.84,1.60666666666667,6.34666666666667,955.333333333333,9.67333333333333,0.361733333333333,0.193266666666667,0.181466666666667,4.12,18.1733333333333,11.4733333333333,6.34,0.953333333333333,1.35333333333333,8.76666666666667,12.4933333333333,0.72,0.62,1.37333333333333,0.0562,-1.28666666666667,0.133333333333333,-1.16,0.0866666666666667,0,2018
"PHO_2019",17.2307692307692,46.5384615384615,16.6153846153846,15.7230769230769,2.82307692307692,6.46153846153846,0.295923076923077,0.807692307692308,2.36153846153846,0.202384615384615,2,4.10769230769231,0.325769230769231,0.344846153846154,1.2,1.49230769230769,0.557384615384615,0.507692307692308,1.83076923076923,2.33076923076923,1.17692307692308,0.4,0.246153846153846,0.938461538461538,1.38461538461538,7.63846153846154,1071.07692307692,8.67692307692308,0.369,0.291153846153846,0.145076923076923,2.33846153846154,8.69230769230769,5.50769230769231,8.26923076923077,0.861538461538462,0.876923076923077,8.23846153846154,14.3692307692308,0.430769230769231,0.484615384615385,0.915384615384615,0.034,-0.684615384615385,-0.776923076923077,-1.43846153846154,-0.0230769230769231,0,2019
"PHO_2020",17.6875,45.1875,24.5625,17.6625,2.96875,6.525,0.3373125,0.79375,2.3,0.2295625,2.18125,4.23125,0.3711875,0.383625,1.39375,1.6875,0.6025625,0.7875,2.45,3.25625,2.0125,0.60625,0.29375,1.15,1.69375,8.0875,1116.9375,10.68125,0.4125625,0.271125,0.182625,3.80625,11.75625,7.7625,12.39375,1.2,1.175,10.1375,14.80625,1.13125,0.95,2.08125,0.0625,-0.50625,-0.325,-0.825,0.36875,0,2020
"PHO_2021",24,52.5714285714286,22,22.9,4.01428571428571,8.51428571428571,0.430285714285714,1.3,3.39285714285714,0.343785714285714,2.73571428571429,5.11428571428571,0.484714285714286,0.508785714285714,1.65,1.97857142857143,0.750214285714286,0.864285714285714,3.13571428571429,3.98571428571429,2.25714285714286,0.735714285714286,0.378571428571429,1.22857142857143,1.91428571428571,10.95,1324.64285714286,13.6071428571429,0.538357142857143,0.410857142857143,0.1975,3.65714285714286,13.7214285714286,8.68571428571429,12.9714285714286,1.44285714285714,1.25714285714286,10.1785714285714,17.7214285714286,1.85714285714286,1.3,3.14285714285714,0.0984285714285714,0.264285714285714,0.107142857142857,0.364285714285714,0.892857142857143,14,2021
"PHO_2022",26.3333333333333,55.8666666666667,32.4666666666667,21.5933333333333,3.77333333333333,7.79333333333333,0.4792,1.06666666666667,2.86,0.36,2.70666666666667,4.92666666666667,0.540933333333333,0.550333333333333,1.36,1.68666666666667,0.769133333333333,0.82,3.08,3.88666666666667,2.29333333333333,0.626666666666667,0.44,1.11333333333333,1.77333333333333,9.95333333333333,1290.73333333333,14.7266666666667,0.577066666666667,0.387266666666667,0.202,4.35333333333333,16.3733333333333,10.4666666666667,14.1133333333333,1.40666666666667,1.89333333333333,11.2133333333333,19.1533333333333,1.91333333333333,1.52666666666667,3.45333333333333,0.1118,-0.42,0.153333333333333,-0.266666666666667,0.873333333333333,0,2022
"POR_2001",28.6666666666667,61.2,37.1333333333333,21.1066666666667,3.28666666666667,7.13333333333333,0.4296,0.34,0.94,0.208133333333333,2.96,6.17333333333333,0.441666666666667,0.4502,1.78666666666667,2.36666666666667,0.629,1.19333333333333,3.07333333333333,4.26666666666667,1.86666666666667,0.686666666666667,0.5,1.38666666666667,2.10666666666667,8.70666666666667,1546.6,13.5933333333333,0.4894,0.113133333333333,0.314,6.08666666666667,15.08,10.7733333333333,12.7066666666667,1.56666666666667,1.56,14.7266666666667,19.0666666666667,2.14666666666667,2.2,4.36,0.1018,-0.706666666666667,0.56,-0.146666666666667,1.24666666666667,0,2001
